epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.796,1.30505,2.87617,1.56634,0.00362,0.8033,0.30966,0.17216,1.12701,3.52117,1.53302,0.0003334,0.0003334,0.0003334
2,341.176,1.24662,2.25919,1.49124,0.00421,0.78529,0.37208,0.21011,1.64894,3.71892,1.91934,0.000669937,0.000669937,0.000669937
3,501.082,1.30825,2.14285,1.50736,0.69271,0.34731,0.46956,0.24819,1.62092,3.10746,2.04559,0.000992612,0.000992612,0.000992612
4,652.524,1.23777,2.02653,1.47758,0.44447,0.32056,0.21204,0.10343,2.06316,3.91715,2.64942,0.00130142,0.00130142,0.00130142
5,801.298,1.34152,2.05941,1.57342,0.30681,0.33926,0.24473,0.08048,2.02202,7.35479,3.08532,0.00153497,0.00153497,0.00153497
6,948.519,1.42905,2.06792,1.63021,0.0526,0.07912,0.03675,0.00932,2.85101,9.96221,5.80201,0.00150197,0.00150197,0.00150197
7,1094.11,1.34961,1.87552,1.52729,0.2927,0.24303,0.22642,0.09981,1.9834,4.81855,2.50455,0.00146896,0.00146896,0.00146896
8,1239.95,1.41156,1.96307,1.62111,0.48297,0.44613,0.46716,0.27748,1.60036,2.89327,2.08935,0.00143595,0.00143595,0.00143595
9,1387.99,1.38509,1.91249,1.58479,0.53833,0.52507,0.5222,0.2821,1.73813,2.52597,2.15739,0.00140295,0.00140295,0.00140295
10,1534.55,1.33868,1.83917,1.54233,0.43958,0.41739,0.39849,0.22468,1.59974,3.05807,2.0506,0.00136994,0.00136994,0.00136994
11,1693.85,1.34101,1.76043,1.53494,0.51729,0.61051,0.545,0.28311,1.47905,3.63564,1.90807,0.00133693,0.00133693,0.00133693
12,1851.15,1.25376,1.63427,1.50707,0.60038,0.54098,0.57085,0.34663,1.43524,2.31507,1.82593,0.00130393,0.00130393,0.00130393
